roi_index	roi_name	n	w_non	mu_non	sd_non	mu_path	sd_path	L_nonQ	G_pathQ25	T_start	n_nonpath	n_path
1	tau.SUVR.Schaefer200.ROI.idx.1	267	0.8282321141696173	1.1894065958210374	0.10023551111378605	1.7550954990157877	0.5702556700651146	1.4225892640039912	1.3704638945656693	1.4225892640039912	230	37
2	tau.SUVR.Schaefer200.ROI.idx.2	267	0.8740212287080704	1.0666909339311985	0.11604157584476617	1.4402994671734073	0.6008963622587896	1.33664400719802	1.035001029899742	1.33664400719802	242	25
3	tau.SUVR.Schaefer200.ROI.idx.3	267	0.8658902233775566	1.0821218329547992	0.08417395951440852	1.2466628314213823	0.32359457068617165	1.2779397447207437	1.0284016102744582	1.2779397447207437	246	21
4	tau.SUVR.Schaefer200.ROI.idx.4	267	0.8372927694318599	1.0981726050601974	0.1132925091340465	1.6149578641222635	0.654662193692031	1.3617303928289397	1.1733949246361066	1.3617303928289397	234	33
5	tau.SUVR.Schaefer200.ROI.idx.5	267	0.8014008023127921	1.1331196423376757	0.12348807874027046	1.7959164762726478	0.7159031031221792	1.4203958717844924	1.3130471710831695	1.4203958717844924	225	42
6	tau.SUVR.Schaefer200.ROI.idx.6	267	0.8049951831268067	1.120675598564963	0.10878821953549997	1.744473023153727	0.6545588535659257	1.3737548418020622	1.3029797855234122	1.3737548418020622	223	44
7	tau.SUVR.Schaefer200.ROI.idx.7	267	0.8144445506660491	1.163993733086219	0.09719476773338412	1.7666457620500469	0.4719047441266223	1.3901025743706708	1.4483508490677355	1.4483508490677355	229	38
8	tau.SUVR.Schaefer200.ROI.idx.8	267	0.9077154052462402	1.1035558686380695	0.0913634493423634	1.6074150294433207	0.36282114322146997	1.316099034780715	1.3626958871860146	1.3626958871860146	248	19
9	tau.SUVR.Schaefer200.ROI.idx.9	267	0.8857178089572906	1.0321526351035677	0.10646976152738556	1.3704520389251407	0.3215624017285648	1.279838338482437	1.1535614949107889	1.279838338482437	242	25
10	tau.SUVR.Schaefer200.ROI.idx.10	267	0.9146761151001264	1.0899047468352574	0.08728127958216353	1.4799906261559648	0.3756499834343898	1.2929513660347882	1.226618562668141	1.2929513660347882	246	21
11	tau.SUVR.Schaefer200.ROI.idx.11	267	0.8600914930202168	1.1087396197773698	0.08716417522345271	1.5532334639528846	0.4378347412457167	1.3115138135009727	1.2579184187028951	1.3115138135009727	235	32
12	tau.SUVR.Schaefer200.ROI.idx.12	267	0.8584705039640151	1.0563580677966433	0.10635033830213204	1.521170214136728	0.5294516281144911	1.303765951209333	1.164060517748876	1.303765951209333	235	32
13	tau.SUVR.Schaefer200.ROI.idx.13	267	0.8940832667747055	1.1016566037160769	0.09579264348033412	1.4017611475009453	0.3049612439722663	1.3245036162253048	1.1960679142346051	1.3245036162253048	245	22
14	tau.SUVR.Schaefer200.ROI.idx.14	267	0.9252391652124462	0.9223960530320128	0.11091732718191295	1.3764909858165064	0.37619243824452886	1.1804283413159489	1.1227530421192993	1.1804283413159489	250	17
15	tau.SUVR.Schaefer200.ROI.idx.15	267	0.9345907077664325	0.9367016850066295	0.0924420439273235	1.1725001181001231	0.297127826350632	1.151754037368949	0.9720904447285805	1.151754037368949	253	14
16	tau.SUVR.Schaefer200.ROI.idx.16	267	0.9033236816902325	0.9289147813623271	0.0886929072809458	1.124433941514883	0.2739727550694266	1.1352453376578573	0.9396421263875732	1.1352453376578573	252	15
17	tau.SUVR.Schaefer200.ROI.idx.17	267	0.9503628948334605	0.9329330361032608	0.1163930382267867	1.4239861392775126	0.33279090643714304	1.2037037331353009	1.1995220839271963	1.2037037331353009	255	12
18	tau.SUVR.Schaefer200.ROI.idx.18	267	0.9196910556961011	0.9754869466649614	0.09339423830106326	1.4219223220936323	0.4309817940637609	1.192754434384304	1.131229519476507	1.192754434384304	249	18
19	tau.SUVR.Schaefer200.ROI.idx.19	267	0.9304290004739502	0.9554361075825625	0.10007094957932587	1.1557789200741695	0.2739459735214358	1.1882359483896758	0.9710051688264738	1.1882359483896758	256	11
20	tau.SUVR.Schaefer200.ROI.idx.20	267	0.9112151716200099	0.9366161138085587	0.10394536121766197	1.0913561530975484	0.2602111359713185	1.1784291838936745	0.9158464089980152	1.1784291838936745	255	12
21	tau.SUVR.Schaefer200.ROI.idx.21	267	0.9153381694607451	1.034252189033306	0.093565213902861	1.4254081035765753	0.46011104091580274	1.2519174254804037	1.1150679225268163	1.2519174254804037	252	15
22	tau.SUVR.Schaefer200.ROI.idx.22	267	0.9221972763507126	1.0510996259316183	0.08996829822563528	1.4695448650615568	0.44604201978620484	1.2603971852398979	1.1686940945590036	1.2603971852398979	250	17
23	tau.SUVR.Schaefer200.ROI.idx.23	267	0.8962877319937037	1.0999420700170088	0.08544934300323571	1.3539676634177749	0.32067487615775914	1.2987269674507733	1.1376757463039684	1.2987269674507733	244	23
24	tau.SUVR.Schaefer200.ROI.idx.24	267	0.9541392719143345	1.060143996198979	0.09673319852477036	1.667907639625844	0.22193723152740938	1.2851790669362495	1.5182132517737117	1.5182132517737117	258	9
25	tau.SUVR.Schaefer200.ROI.idx.25	267	0.8911629471070904	1.1285310562703819	0.10953923449356197	1.7938044625012362	0.5314015957878038	1.3833574215585416	1.4353795329045211	1.4353795329045211	242	25
26	tau.SUVR.Schaefer200.ROI.idx.26	267	0.8894843766709599	1.1229985526444268	0.08914551354519083	1.5351858196270336	0.4117893521693329	1.330382028560561	1.257438122348934	1.330382028560561	243	24
27	tau.SUVR.Schaefer200.ROI.idx.27	267	0.9693008224824909	1.0168757841824645	0.09497187462705917	1.5023242130530379	0.19408040268682678	1.2378134028147973	1.3714189707268452	1.3714189707268452	261	6
28	tau.SUVR.Schaefer200.ROI.idx.28	267	0.920736410153303	0.9745706430438089	0.09143931032962496	1.322706849595685	0.2927288354118063	1.187290288232893	1.125264250523586	1.187290288232893	251	16
29	tau.SUVR.Schaefer200.ROI.idx.29	267	0.7222091793003662	1.229773690276134	0.099086807149815	1.8539510074073358	0.566128425448904	1.4602840734346014	1.4721031871474035	1.4721031871474035	206	61
30	tau.SUVR.Schaefer200.ROI.idx.30	267	0.7880726260491108	1.2318113718691803	0.10980995174771867	1.9626048606266921	0.6922443246100105	1.4872675196660134	1.4956931590458309	1.4956931590458309	219	48
31	tau.SUVR.Schaefer200.ROI.idx.31	267	0.7768765656342498	1.1733949984818535	0.09626182564675732	1.7730435230375912	0.6493919377368993	1.397333491926478	1.3350353171740803	1.397333491926478	219	48
32	tau.SUVR.Schaefer200.ROI.idx.32	267	0.8302072863208044	1.1864079256348252	0.11578946222393809	1.902870511997076	0.5859065608749877	1.4557744949158165	1.5076825421142601	1.5076825421142601	230	37
33	tau.SUVR.Schaefer200.ROI.idx.33	267	0.816773107474953	1.0411878421433352	0.10980883825066262	1.5056688749287315	0.5096327228815775	1.2966413995586592	1.1619268269805874	1.2966413995586592	232	35
34	tau.SUVR.Schaefer200.ROI.idx.34	267	0.8598150514795935	1.02924633079659	0.11565034994264772	1.593715444800291	0.4922448355566327	1.2982892765177485	1.2617013486303865	1.2982892765177485	235	32
35	tau.SUVR.Schaefer200.ROI.idx.35	267	0.8911932611573474	1.0889061590589482	0.09689257051843468	1.63512616658828	0.4198664583616822	1.3143119844948614	1.3519305439721954	1.3519305439721954	243	24
36	tau.SUVR.Schaefer200.ROI.idx.36	267	0.8968029592746234	1.1004138977808147	0.09964199481016281	1.7255983788224132	0.461866775882998	1.3322158405726259	1.41407397253322	1.41407397253322	245	22
37	tau.SUVR.Schaefer200.ROI.idx.37	267	0.9029913368737295	0.9882867163183737	0.11014699676828583	1.551093965111564	0.46029486173665574	1.2445269480822594	1.2406297988022672	1.2445269480822594	244	23
38	tau.SUVR.Schaefer200.ROI.idx.38	267	0.8904888148907337	0.9882730291578239	0.10859921899581648	1.3962658727877186	0.4453073418323375	1.2409125913912378	1.095910635034744	1.2409125913912378	246	21
39	tau.SUVR.Schaefer200.ROI.idx.39	267	0.8971928788337752	1.0925115158271648	0.10245410933088886	1.8009478922232882	0.4745302207940797	1.3308554152558265	1.480882122139398	1.480882122139398	249	18
40	tau.SUVR.Schaefer200.ROI.idx.40	267	0.8938438947063392	1.0897655864415285	0.10598845146112534	1.7038138803709235	0.43871799350144264	1.3363315951709989	1.407903090527609	1.407903090527609	246	21
41	tau.SUVR.Schaefer200.ROI.idx.41	267	0.7903391098021338	1.107382486563179	0.09447285073167304	1.3087005512909071	0.24108924274137386	1.3271592020173848	1.1460883281793153	1.3271592020173848	237	30
42	tau.SUVR.Schaefer200.ROI.idx.42	267	0.9043075655227525	1.19425092848448	0.108048218779548	1.5194775866983656	0.39585079829914777	1.4456086725361816	1.252480280638654	1.4456086725361816	249	18
43	tau.SUVR.Schaefer200.ROI.idx.43	267	0.9508641445394077	1.0900134839835223	0.10306390600022051	1.8031627173714633	0.28802028475919433	1.3297759825974809	1.60889598745283	1.60889598745283	258	9
44	tau.SUVR.Schaefer200.ROI.idx.44	267	0.909753870214779	1.1158147507492178	0.10427371055129972	1.5983968509153001	0.4042978107752136	1.3583916756085843	1.3257021215207037	1.3583916756085843	245	22
45	tau.SUVR.Schaefer200.ROI.idx.45	267	0.9002041212335621	1.1023772470475894	0.0988792027515107	1.4690611212913063	0.4022843910355556	1.3324046701554202	1.1977244228739514	1.3324046701554202	248	19
46	tau.SUVR.Schaefer200.ROI.idx.46	267	0.9019061217709013	0.9844414007820965	0.1032208811776145	1.3882984334022177	0.4421214321669249	1.2245690782662628	1.0900920590636147	1.2245690782662628	248	19
47	tau.SUVR.Schaefer200.ROI.idx.47	267	0.8408550311375304	1.0729364988448076	0.11532221896415056	1.7100268140331756	0.5286911204554592	1.3412160977617322	1.3534300722662862	1.3534300722662862	231	36
48	tau.SUVR.Schaefer200.ROI.idx.48	267	0.8972519724538927	1.1192028578811872	0.1066360113903073	1.64371922617929	0.48114190000775214	1.367275316275224	1.319193946234193	1.367275316275224	244	23
49	tau.SUVR.Schaefer200.ROI.idx.49	267	0.8617617793704253	1.180861925787373	0.10230084167540443	1.5066352805015109	0.379435829174556	1.4188492713315393	1.2507097028661214	1.4188492713315393	241	26
50	tau.SUVR.Schaefer200.ROI.idx.50	267	0.9269487418703982	1.092250370556282	0.1090505688117151	1.3802299402794116	0.44069620015074307	1.3459399294743606	1.0829848703273743	1.3459399294743606	255	12
51	tau.SUVR.Schaefer200.ROI.idx.51	267	0.9307424817400024	1.1965278428283812	0.12413006613521153	1.6913194289486204	0.4224373117116991	1.4852975582865802	1.406389792098692	1.4852975582865802	248	19
52	tau.SUVR.Schaefer200.ROI.idx.52	267	0.9401535376519493	1.1822927632790605	0.11957314274998787	1.5533504127333648	0.5004011030698613	1.4604614897078774	1.2158349977259304	1.4604614897078774	252	15
53	tau.SUVR.Schaefer200.ROI.idx.53	267	0.5515116531146408	1.1393209793134247	0.0907113552039477	1.4690386349041122	0.3201891056850709	1.3503471476434925	1.253074364995082	1.3503471476434925	188	79
54	tau.SUVR.Schaefer200.ROI.idx.54	267	0.6550657912853698	1.2170176280512743	0.09484546633515269	1.6918223162808579	0.46629056667074964	1.4376611770224694	1.3773141084483145	1.4376611770224694	197	70
55	tau.SUVR.Schaefer200.ROI.idx.55	267	0.6379716554736615	1.0796900750188236	0.09422402590105013	1.3913232358948888	0.30655143353631253	1.2988879373573012	1.1845574360667306	1.2988879373573012	203	64
56	tau.SUVR.Schaefer200.ROI.idx.56	267	0.9144031843385484	1.1241238627580818	0.12912889200479624	1.4312220172934182	0.35465641232958695	1.4245225861506896	1.1920099023357966	1.4245225861506896	253	14
57	tau.SUVR.Schaefer200.ROI.idx.57	267	0.7877744908097659	1.2049812315608612	0.11334421548910088	1.8817242855042753	0.6821911254269167	1.4686593062987585	1.4215933637290903	1.4686593062987585	223	44
58	tau.SUVR.Schaefer200.ROI.idx.58	267	0.8009900612138914	1.1203254781184155	0.10509480875793101	1.7339510778086518	0.5376347623634201	1.3648125630451577	1.3713219412454187	1.3713219412454187	223	44
59	tau.SUVR.Schaefer200.ROI.idx.59	267	0.8506690490440012	1.0818393623756346	0.11021576248279201	1.7257950169630123	0.5662979797198795	1.3382395671132685	1.343832834085205	1.343832834085205	232	35
60	tau.SUVR.Schaefer200.ROI.idx.60	267	0.8575210760661649	1.0982073058481026	0.11091907874369959	1.7168979136246683	0.5030892760652832	1.3562436688740773	1.3775693534850677	1.3775693534850677	235	32
