roi_index	roi_name	kept	mu_non	sd_non	mu_path	sd_path
1	tau.SUVR.Schaefer200.ROI.idx.1	1	1.1893965061416276	0.10021848250025422	1.754908874050734	0.5702235923867178
2	tau.SUVR.Schaefer200.ROI.idx.2	1	1.0666669771319461	0.116009400233732	1.4400500742755253	0.600643630821129
3	tau.SUVR.Schaefer200.ROI.idx.3	1	1.0820923897716057	0.08413359115149649	1.2464586949425487	0.32330470041474607
4	tau.SUVR.Schaefer200.ROI.idx.4	1	1.0981677159140166	0.11328443192274118	1.6148552478487426	0.6546214403840385
5	tau.SUVR.Schaefer200.ROI.idx.5	1	1.1331182300948164	0.12348573745396144	1.7958947454657173	0.7158977775634
6	tau.SUVR.Schaefer200.ROI.idx.6	1	1.1206691480402846	0.10877895360540953	1.7443683133049708	0.654535404963747
7	tau.SUVR.Schaefer200.ROI.idx.7	1	1.1639851714011915	0.09718151643603576	1.7664515373612204	0.47192980476400465
8	tau.SUVR.Schaefer200.ROI.idx.8	1	1.103544979190631	0.09134844860761397	1.606977945253207	0.3629037069381035
9	tau.SUVR.Schaefer200.ROI.idx.9	1	1.0321190684543042	0.10642467658216312	1.3698810983559089	0.32148969033371405
10	tau.SUVR.Schaefer200.ROI.idx.10	1	1.0898912445403248	0.08725673038104591	1.4794333850461974	0.3756052615732047
11	tau.SUVR.Schaefer200.ROI.idx.11	1	1.1087313151363554	0.08715239913496156	1.5530283126058204	0.43780615766960373
12	tau.SUVR.Schaefer200.ROI.idx.12	1	1.0563439333750044	0.10632580402791388	1.5208955316455768	0.5293674335114139
13	tau.SUVR.Schaefer200.ROI.idx.13	1	1.10163748612876	0.09574179531157166	1.4009086416836805	0.30497063489601783
14	tau.SUVR.Schaefer200.ROI.idx.14	1	0.9223825608862926	0.11089295122741981	1.3757031759951177	0.3762942696931838
15	tau.SUVR.Schaefer200.ROI.idx.15	1	0.9366915632533453	0.09242296541843745	1.171982789945365	0.2969834772295501
16	tau.SUVR.Schaefer200.ROI.idx.16	1	0.928904534706153	0.08867020316265377	1.1240232838851187	0.27383588666548536
17	tau.SUVR.Schaefer200.ROI.idx.17	1	0.9329217000351971	0.11637992763777047	1.4230067221817642	0.3330840735011555
18	tau.SUVR.Schaefer200.ROI.idx.18	1	0.9754825101159622	0.09338410196005302	1.4215310879382332	0.43097974838136516
19	tau.SUVR.Schaefer200.ROI.idx.19	1	0.9554180757463687	0.10004160046742232	1.1551624333300645	0.27371804007599865
20	tau.SUVR.Schaefer200.ROI.idx.20	1	0.9365922909475705	0.10390649706267281	1.0907930523659277	0.25989415492944257
21	tau.SUVR.Schaefer200.ROI.idx.21	1	1.0342478720391817	0.09355465210435934	1.4251232535131124	0.4600484968349085
22	tau.SUVR.Schaefer200.ROI.idx.22	1	1.051094350574155	0.08995568686540774	1.4691561242121374	0.445994302678088
