roi_index	roi_name	n	bic_1g	bic_2g	kept_2g	w	mu_non	sd_non	mu_path	sd_path
1	tau.SUVR.Schaefer200.ROI.idx.1	267	178.8271640306662	-125.372232073811	1	0.8281606519443984	1.1893965061416276	0.10021848250025422	1.754908874050734	0.5702235923867178
2	tau.SUVR.Schaefer200.ROI.idx.2	267	68.70191339447757	-143.82464974350725	1	0.8738810055368444	1.0666669771319461	0.116009400233732	1.4400500742755253	0.600643630821129
3	tau.SUVR.Schaefer200.ROI.idx.3	267	-234.59127948668618	-347.82396645718063	1	0.865568556099126	1.0820923897716057	0.08413359115149649	1.2464586949425487	0.32330470041474607
4	tau.SUVR.Schaefer200.ROI.idx.4	267	195.7083247105012	-77.55187588575328	1	0.8372525322379327	1.0981677159140166	0.11328443192274118	1.6148552478487426	0.6546214403840385
5	tau.SUVR.Schaefer200.ROI.idx.5	267	316.7966917717112	24.07138933627476	1	0.8013925831118155	1.1331182300948164	0.12348573745396144	1.7958947454657173	0.7158977775634
6	tau.SUVR.Schaefer200.ROI.idx.6	267	269.662608814644	-39.221761846808874	1	0.8049541191530146	1.1206691480402846	0.10877895360540953	1.7443683133049708	0.654535404963747
7	tau.SUVR.Schaefer200.ROI.idx.7	267	164.32182369713004	-127.20162352426809	1	0.8143731566936165	1.1639851714011915	0.09718151643603576	1.7664515373612204	0.47192980476400465
8	tau.SUVR.Schaefer200.ROI.idx.8	267	-84.01089207244826	-313.18088328939905	1	0.9076156488537527	1.103544979190631	0.09134844860761397	1.606977945253207	0.3629037069381035
9	tau.SUVR.Schaefer200.ROI.idx.9	267	-138.36230765164547	-249.34799605731976	1	0.8854366082602304	1.0321190684543042	0.10642467658216312	1.3698810983559089	0.32148969033371405
10	tau.SUVR.Schaefer200.ROI.idx.10	267	-159.6074831126752	-358.35341265034947	1	0.9145223545778121	1.0898912445403248	0.08725673038104591	1.4794333850461974	0.3756052615732047
11	tau.SUVR.Schaefer200.ROI.idx.11	267	4.621685633311124	-259.99792216895224	1	0.8600108146227334	1.1087313151363554	0.08715239913496156	1.5530283126058204	0.43780615766960373
12	tau.SUVR.Schaefer200.ROI.idx.12	267	79.53198300147952	-162.17499200933088	1	0.8583606998888571	1.0563439333750044	0.10632580402791388	1.5208955316455768	0.5293674335114139
13	tau.SUVR.Schaefer200.ROI.idx.13	267	-199.6433981473148	-312.95020457848415	1	0.8937244371843776	1.10163748612876	0.09574179531157166	1.4009086416836805	0.30497063489601783
14	tau.SUVR.Schaefer200.ROI.idx.14	267	-117.00728744338657	-256.69111680753707	1	0.9250817031885104	0.9223825608862926	0.11089295122741981	1.3757031759951177	0.3762942696931838
15	tau.SUVR.Schaefer200.ROI.idx.15	267	-316.5094174194111	-387.10716644770554	1	0.9344066900041399	0.9366915632533453	0.09242296541843745	1.171982789945365	0.2969834772295501
